iter	Passed	Remaining
0	57	57676
1	58	28962
2	58	19391
3	58	14614
4	59	11756
5	59	9848
6	59	8489
7	60	7463
8	60	6661
9	60	6016
10	61	5497
11	61	5058
12	61	4685
13	62	4367
14	62	4090
15	62	3846
16	62	3632
17	63	3442
18	63	3271
19	63	3118
20	63	2979
21	64	2853
22	64	2738
23	64	2633
24	65	2536
25	65	2448
26	65	2364
27	65	2288
28	66	2216
29	66	2149
30	66	2086
31	67	2029
32	67	1976
33	67	1925
34	68	1876
35	68	1831
36	68	1787
37	69	1746
38	69	1708
39	69	1673
40	70	1642
41	70	1610
42	70	1580
43	71	1549
44	71	1522
45	72	1494
46	72	1468
47	72	1445
48	73	1420
49	73	1396
50	73	1375
51	74	1353
52	74	1331
53	74	1311
54	75	1293
55	75	1275
56	75	1256
57	76	1239
58	76	1222
59	76	1205
60	77	1189
61	77	1174
62	77	1159
63	78	1143
64	78	1129
65	78	1117
66	79	1105
67	79	1093
68	80	1080
69	80	1068
70	80	1056
71	81	1045
72	81	1034
73	81	1022
74	82	1012
75	82	1002
76	82	993
77	83	983
78	83	973
79	83	963
80	84	954
81	84	944
82	84	933
83	84	925
84	85	916
85	85	908
86	85	900
87	86	892
88	86	884
89	86	876
90	87	869
91	87	863
92	87	857
93	88	851
94	88	845
95	89	839
96	89	832
97	89	826
98	90	820
99	90	815
100	90	809
101	91	803
102	91	797
103	91	791
104	92	786
105	92	781
106	93	776
107	93	770
108	93	765
109	93	760
110	94	754
111	94	749
112	94	744
113	95	740
114	95	736
115	96	731
116	96	726
117	96	722
118	96	718
119	97	713
120	97	709
121	97	704
122	98	700
123	98	696
124	98	692
125	99	688
126	99	684
127	99	680
128	100	677
129	100	673
130	101	670
131	101	667
132	101	663
133	102	660
134	102	657
135	103	658
136	104	656
137	104	653
138	105	650
139	105	647
140	105	644
141	105	639
142	106	636
143	106	633
144	106	630
145	107	627
146	107	624
147	108	621
148	108	618
149	108	615
150	109	613
151	109	610
152	109	607
153	110	604
154	110	601
155	110	598
156	110	595
157	111	593
158	111	591
159	112	588
160	112	585
161	112	583
162	113	580
163	113	578
164	113	575
165	114	573
166	114	570
167	114	568
168	115	565
169	115	564
170	115	561
171	116	559
172	116	557
173	117	555
174	117	553
175	117	551
176	117	548
177	118	546
178	118	544
179	118	541
180	119	539
181	119	537
182	119	535
183	120	532
184	120	530
185	120	528
186	121	526
187	121	525
188	122	523
189	122	521
190	122	519
191	123	518
192	123	516
193	123	514
194	124	512
195	124	510
196	125	509
197	125	507
198	128	515
199	128	513
200	128	511
201	128	509
202	129	507
203	129	505
204	129	503
205	130	501
206	130	499
207	130	497
208	131	496
209	131	494
210	131	492
211	131	490
212	132	488
213	132	486
214	132	485
215	133	483
216	133	481
217	133	479
218	133	477
219	134	476
220	134	474
221	134	472
222	135	470
223	137	476
224	137	474
225	138	473
226	138	471
227	138	469
228	139	468
229	139	466
230	139	464
231	139	463
232	140	461
233	140	460
234	140	458
235	141	456
236	141	455
237	141	453
238	141	452
239	142	450
240	142	448
241	146	457
242	146	457
243	147	456
244	147	454
245	147	453
246	148	451
247	148	450
248	149	449
249	149	448
250	149	446
251	149	445
252	150	443
253	152	446
254	152	445
255	152	443
256	152	442
257	153	440
258	153	439
259	153	437
260	154	436
261	154	435
262	155	434
263	155	433
264	155	431
265	155	430
266	156	429
267	156	428
268	157	426
269	157	425
270	157	424
271	158	423
272	158	421
273	158	420
274	158	419
275	159	417
276	159	416
277	159	415
278	160	414
279	161	414
280	161	413
281	161	412
282	162	410
283	162	409
284	162	408
285	163	407
286	163	405
287	163	404
288	163	403
289	164	402
290	164	400
291	164	399
292	165	398
293	165	397
294	165	395
295	165	394
296	166	393
297	166	392
298	167	391
299	167	390
300	167	389
301	168	388
302	168	387
303	168	386
304	169	386
305	169	385
306	170	384
307	170	383
308	171	382
309	172	384
310	173	384
311	173	383
312	174	383
313	174	382
314	177	385
315	178	385
316	179	385
317	180	387
318	181	386
319	181	385
320	181	384
321	182	383
322	182	382
323	183	382
324	183	381
325	183	380
326	184	379
327	184	377
328	184	377
329	185	375
330	185	374
331	185	373
332	186	372
333	186	371
334	186	370
335	187	369
336	187	368
337	187	367
338	188	366
339	188	365
340	188	364
341	189	363
342	189	362
343	189	361
344	189	360
345	190	359
346	190	358
347	190	357
348	190	356
349	191	355
350	191	354
351	191	353
352	192	352
353	192	350
354	192	349
355	192	348
356	193	347
357	193	346
358	193	345
359	193	344
360	194	343
361	194	342
362	194	341
363	195	340
364	195	339
365	195	338
366	195	337
367	196	336
368	196	335
369	196	335
370	197	334
371	197	333
372	197	332
373	197	331
374	198	330
375	198	329
376	198	328
377	198	327
378	199	326
379	199	325
380	199	324
381	200	323
382	200	323
383	200	322
384	201	321
385	201	320
386	201	319
387	201	318
388	202	317
389	202	316
390	202	315
391	202	314
392	203	313
393	203	313
394	203	312
395	204	311
396	204	310
397	204	309
398	204	308
399	205	307
400	205	306
401	205	305
402	205	304
403	206	304
404	206	303
405	206	302
406	206	301
407	207	300
408	207	299
409	207	298
410	207	298
411	208	297
412	208	296
413	208	295
414	209	294
415	209	293
416	209	292
417	209	292
418	210	291
419	210	290
420	210	289
421	210	288
422	211	288
423	211	287
424	211	286
425	211	285
426	212	284
427	212	283
428	212	283
429	213	282
430	213	281
431	213	280
432	213	279
433	214	279
434	214	278
435	214	277
436	214	276
437	215	276
438	215	275
439	215	274
440	216	274
441	216	273
442	216	272
443	217	271
444	217	271
445	217	270
446	218	269
447	218	268
448	218	268
449	218	267
450	219	266
451	219	266
452	219	265
453	219	264
454	220	263
455	220	262
456	220	262
457	220	261
458	221	260
459	221	260
460	221	259
461	222	258
462	222	257
463	222	257
464	222	256
465	223	255
466	223	255
467	223	254
468	223	253
469	224	252
470	224	252
471	224	251
472	225	250
473	225	250
474	225	249
475	225	248
476	226	248
477	226	247
478	226	246
479	227	246
480	227	245
481	227	244
482	227	244
483	228	243
484	228	242
485	228	241
486	229	241
487	229	240
488	229	239
489	229	239
490	230	238
491	230	237
492	230	237
493	231	236
494	231	235
495	231	235
496	231	234
497	232	234
498	232	233
499	232	232
500	233	232
501	233	231
502	233	230
503	233	230
504	234	229
505	234	228
506	234	228
507	235	227
508	235	227
509	235	226
510	236	225
511	236	225
512	236	224
513	236	223
514	237	223
515	237	222
516	237	222
517	237	221
518	238	220
519	238	220
520	238	219
521	239	218
522	239	218
523	239	217
524	239	217
525	240	216
526	240	215
527	240	215
528	241	214
529	241	214
530	241	213
531	241	212
532	242	212
533	242	211
534	242	211
535	243	210
536	243	210
537	243	209
538	244	208
539	244	208
540	244	207
541	244	207
542	245	206
543	245	205
544	245	205
545	246	204
546	246	204
547	247	203
548	247	203
549	247	202
550	248	202
551	248	201
552	248	201
553	248	200
554	249	199
555	249	199
556	249	198
557	250	198
558	250	197
559	250	196
560	250	196
561	251	195
562	251	195
563	251	194
564	251	193
565	252	193
566	252	192
567	252	192
568	252	191
569	253	191
570	253	190
571	253	189
572	254	189
573	254	188
574	254	188
575	255	187
576	255	187
577	255	186
578	255	186
579	256	185
580	256	184
581	256	184
582	256	183
583	257	183
584	257	182
585	257	182
586	257	181
587	258	180
588	258	180
589	258	179
590	259	179
591	259	178
592	259	178
593	259	177
594	260	177
595	260	176
596	260	175
597	260	175
598	261	174
599	261	174
600	261	173
601	262	173
602	262	172
603	263	172
604	263	171
605	263	171
606	263	170
607	264	170
608	264	169
609	264	169
610	264	168
611	265	168
612	265	167
613	265	167
614	266	166
615	266	166
616	266	165
617	266	164
618	267	164
619	267	163
620	267	163
621	268	162
622	268	162
623	268	161
624	268	161
625	269	160
626	269	160
627	269	159
628	269	159
629	270	158
630	270	158
631	270	157
632	271	157
633	271	156
634	271	156
635	271	155
636	272	155
637	272	154
638	272	154
639	272	153
640	273	152
641	273	152
642	273	151
643	274	151
644	274	150
645	274	150
646	274	149
647	275	149
648	275	148
649	275	148
650	275	147
651	276	147
652	276	146
653	276	146
654	277	145
655	277	145
656	277	144
657	277	144
658	278	143
659	278	143
660	278	142
661	278	142
662	279	141
663	279	141
664	279	140
665	280	140
666	280	139
667	280	139
668	281	139
669	281	138
670	281	138
671	281	137
672	282	137
673	282	136
674	282	136
675	282	135
676	283	135
677	283	134
678	283	134
679	283	133
680	284	133
681	284	132
682	284	132
683	285	131
684	285	131
685	285	130
686	285	130
687	286	129
688	286	129
689	286	128
690	287	128
691	287	127
692	287	127
693	287	126
694	288	126
695	288	125
696	288	125
697	288	124
698	289	124
699	289	124
700	289	123
701	289	123
702	290	122
703	290	122
704	290	121
705	291	121
706	291	120
707	291	120
708	291	119
709	292	119
710	292	118
711	292	118
712	292	117
713	293	117
714	293	116
715	293	116
716	294	116
717	294	115
718	294	115
719	295	114
720	295	114
721	295	113
722	296	113
723	296	112
724	296	112
725	296	112
726	297	111
727	297	111
728	297	110
729	297	110
730	298	109
731	298	109
732	298	108
733	299	108
734	299	107
735	299	107
736	299	107
737	300	106
738	300	106
739	300	105
740	300	105
741	301	104
742	301	104
743	301	103
744	302	103
745	302	102
746	302	102
747	302	102
748	303	101
749	303	101
750	303	100
751	303	100
752	304	99
753	304	99
754	304	98
755	304	98
756	305	97
757	305	97
758	305	97
759	305	96
760	306	96
761	306	95
762	306	95
763	307	94
764	307	94
765	307	93
766	307	93
767	308	93
768	308	92
769	308	92
770	309	91
771	309	91
772	309	90
773	309	90
774	310	90
775	310	89
776	310	89
777	311	88
778	311	88
779	311	87
780	312	87
781	312	87
782	312	86
783	312	86
784	313	85
785	313	85
786	313	84
787	313	84
788	314	84
789	314	83
790	314	83
791	315	82
792	315	82
793	315	81
794	315	81
795	316	81
796	316	80
797	316	80
798	316	79
799	317	79
800	317	78
801	317	78
802	317	77
803	318	77
804	318	77
805	318	76
806	318	76
807	319	75
808	319	75
809	319	74
810	319	74
811	320	74
812	320	73
813	320	73
814	320	72
815	321	72
816	321	71
817	321	71
818	321	71
819	322	70
820	322	70
821	322	69
822	322	69
823	323	69
824	323	68
825	323	68
826	324	67
827	324	67
828	324	66
829	324	66
830	325	66
831	325	65
832	325	65
833	326	64
834	326	64
835	326	64
836	326	63
837	327	63
838	327	62
839	327	62
840	328	62
841	328	61
842	328	61
843	328	60
844	329	60
845	329	59
846	329	59
847	330	59
848	330	58
849	330	58
850	330	57
851	331	57
852	331	57
853	331	56
854	332	56
855	332	55
856	332	55
857	332	55
858	333	54
859	333	54
860	333	53
861	333	53
862	334	53
863	334	52
864	334	52
865	334	51
866	335	51
867	335	51
868	335	50
869	336	50
870	336	49
871	336	49
872	336	49
873	337	48
874	337	48
875	337	47
876	337	47
877	338	46
878	338	46
879	338	46
880	339	45
881	339	45
882	339	44
883	339	44
884	340	44
885	340	43
886	340	43
887	341	43
888	341	42
889	341	42
890	342	41
891	342	41
892	342	41
893	342	40
894	343	40
895	343	39
896	343	39
897	344	39
898	344	38
899	344	38
900	344	37
901	345	37
902	345	37
903	345	36
904	346	36
905	346	35
906	346	35
907	347	35
908	347	34
909	347	34
910	347	33
911	348	33
912	348	33
913	348	32
914	348	32
915	349	32
916	349	31
917	349	31
918	350	30
919	350	30
920	350	30
921	350	29
922	351	29
923	351	28
924	351	28
925	351	28
926	352	27
927	352	27
928	352	26
929	352	26
930	353	26
931	353	25
932	353	25
933	354	25
934	354	24
935	354	24
936	354	23
937	355	23
938	355	23
939	355	22
940	355	22
941	356	21
942	356	21
943	356	21
944	357	20
945	357	20
946	357	20
947	358	19
948	358	19
949	358	18
950	359	18
951	359	18
952	359	17
953	359	17
954	360	16
955	360	16
956	360	16
957	361	15
958	361	15
959	361	15
960	361	14
961	362	14
962	362	13
963	362	13
964	362	13
965	363	12
966	363	12
967	363	12
968	364	11
969	364	11
970	364	10
971	364	10
972	365	10
973	365	9
974	365	9
975	366	9
976	366	8
977	366	8
978	366	7
979	367	7
980	367	7
981	367	6
982	368	6
983	368	5
984	368	5
985	368	5
986	369	4
987	369	4
988	369	4
989	369	3
990	370	3
991	370	2
992	370	2
993	370	2
994	371	1
995	371	1
996	371	1
997	372	0
998	372	0
999	373	0
